Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Austria	AUT	Battle-related deaths (number of people)	VC.BTL.DETH	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Austria	AUT	Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)	TX.VAL.MRCH.R1.ZS	1.850031281	2.850031281	3.850031281	4.850031281	5.850031281	6.850031281	7.850031281	8.850031281	9.850031281	10.85003128	11.85003128	12.85003128	13.85003128	14.85003128	15.85003128	16.85003128	17.85003128	18.85003128	19.85003128	20.85003128	21.85003128	22.85003128	23.85003128	24.85003128	25.85003128	26.85003128	27.85003128	28.85003128	29.85003128	30.85003128	31.85003128	32.85003128	33.85003128	34.85003128	35.85003128	36.85003128	37.85003128	38.85003128	39.85003128	40.85003128	41.85003128	42.85003128	43.85003128	44.85003128	45.85003128	46.85003128	47.85003128	48.85003128	49.85003128	50.85003128	51.85003128	52.85003128	53.85003128	54.85003128	55.85003128	56.85003128	57.85003128	58.85003128	59.85003128	60.85003128	61.85003128
Austria	AUT	Travel services (% of commercial service imports)	TM.VAL.TRVL.ZS.WT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Austria	AUT	Merchandise imports (current US$)	TM.VAL.MRCH.CD.WT	1416000000	1416000001	1416000002	1416000003	1416000004	1416000005	1416000006	1416000007	1416000008	1416000009	1416000010	1416000011	1416000012	1416000013	1416000014	1416000015	1416000016	1416000017	1416000018	1416000019	1416000020	1416000021	1416000022	1416000023	1416000024	1416000025	1416000026	1416000027	1416000028	1416000029	1416000030	1416000031	1416000032	1416000033	1416000034	1416000035	1416000036	1416000037	1416000038	1416000039	1416000040	1416000041	1416000042	1416000043	1416000044	1416000045	1416000046	1416000047	1416000048	1416000049	1416000050	1416000051	1416000052	1416000053	1416000054	1416000055	1416000056	1416000057	1416000058	1416000059	1416000060
Austria	AUT	"Bound rate, simple mean, primary products (%)"	TM.TAX.TCOM.BR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Austria	AUT	"Bound rate, simple mean, manufactured products (%)"	TM.TAX.MANF.BR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Austria	AUT	Urban population	SP.URB.TOTL	4561167	4561168	4561169	4561170	4561171	4561172	4561173	4561174	4561175	4561176	4561177	4561178	4561179	4561180	4561181	4561182	4561183	4561184	4561185	4561186	4561187	4561188	4561189	4561190	4561191	4561192	4561193	4561194	4561195	4561196	4561197	4561198	4561199	4561200	4561201	4561202	4561203	4561204	4561205	4561206	4561207	4561208	4561209	4561210	4561211	4561212	4561213	4561214	4561215	4561216	4561217	4561218	4561219	4561220	4561221	4561222	4561223	4561224	4561225	4561226	4561227
Austria	AUT	Technicians in R&D (per million people)	SP.POP.TECH.RD.P6	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Austria	AUT	"Population ages 65 and above, male"	SP.POP.65UP.MA.IN	332054	332055	332056	332057	332058	332059	332060	332061	332062	332063	332064	332065	332066	332067	332068	332069	332070	332071	332072	332073	332074	332075	332076	332077	332078	332079	332080	332081	332082	332083	332084	332085	332086	332087	332088	332089	332090	332091	332092	332093	332094	332095	332096	332097	332098	332099	332100	332101	332102	332103	332104	332105	332106	332107	332108	332109	332110	332111	332112	332113	332114
Austria	AUT	"Population ages 35-39, female (% of female population)"	SP.POP.3539.FE.5Y	7.49117126	8.49117126	9.49117126	10.49117126	11.49117126	12.49117126	13.49117126	14.49117126	15.49117126	16.49117126	17.49117126	18.49117126	19.49117126	20.49117126	21.49117126	22.49117126	23.49117126	24.49117126	25.49117126	26.49117126	27.49117126	28.49117126	29.49117126	30.49117126	31.49117126	32.49117126	33.49117126	34.49117126	35.49117126	36.49117126	37.49117126	38.49117126	39.49117126	40.49117126	41.49117126	42.49117126	43.49117126	44.49117126	45.49117126	46.49117126	47.49117126	48.49117126	49.49117126	50.49117126	51.49117126	52.49117126	53.49117126	54.49117126	55.49117126	56.49117126	57.49117126	58.49117126	59.49117126	60.49117126	61.49117126	62.49117126	63.49117126	64.49117126	65.49117126	66.49117126	67.49117126
Austria	AUT	"Population ages 10-14, female (% of female population)"	SP.POP.1014.FE.5Y	6.552395415	7.552395415	8.552395415	9.552395415	10.55239542	11.55239542	12.55239542	13.55239542	14.55239542	15.55239542	16.55239542	17.55239542	18.55239542	19.55239542	20.55239542	21.55239542	22.55239542	23.55239542	24.55239542	25.55239542	26.55239542	27.55239542	28.55239542	29.55239542	30.55239542	31.55239542	32.55239542	33.55239542	34.55239542	35.55239542	36.55239542	37.55239542	38.55239542	39.55239542	40.55239542	41.55239542	42.55239542	43.55239542	44.55239542	45.55239542	46.55239542	47.55239542	48.55239542	49.55239542	50.55239542	51.55239542	52.55239542	53.55239542	54.55239542	55.55239542	56.55239542	57.55239542	58.55239542	59.55239542	60.55239542	61.55239542	62.55239542	63.55239542	64.55239542	65.55239542	66.55239542
Austria	AUT	"Survival to age 65, male (% of cohort)"	SP.DYN.TO65.MA.ZS	64.9214286	65.9214286	66.9214286	67.9214286	68.9214286	69.9214286	70.9214286	71.9214286	72.9214286	73.9214286	74.9214286	75.9214286	76.9214286	77.9214286	78.9214286	79.9214286	80.9214286	81.9214286	82.9214286	83.9214286	84.9214286	85.9214286	86.9214286	87.9214286	88.9214286	89.9214286	90.9214286	91.9214286	92.9214286	93.9214286	94.9214286	95.9214286	96.9214286	97.9214286	98.9214286	99.9214286	100.9214286	101.9214286	102.9214286	103.9214286	104.9214286	105.9214286	106.9214286	107.9214286	108.9214286	109.9214286	110.9214286	111.9214286	112.9214286	113.9214286	114.9214286	115.9214286	116.9214286	117.9214286	118.9214286	119.9214286	120.9214286	121.9214286	122.9214286	123.9214286	124.9214286
Austria	AUT	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	SN.ITK.VITA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Austria	AUT	"Unemployment, male (% of male labor force) (national estimate)"	SL.UEM.TOTL.MA.NE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
