Data Source	World Development Indicators			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Last Updated Date	15-02-22			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
				\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Belgium	BEL	"Intentional homicides, female (per 100,000 female)"	VC.IHR.PSRC.FE.P5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.588067291	1.952913533	2.499260994	1.774213557	2.368186046	1.716030618	1.623401978	1.603930953	1.300757657	1.378012411	1.247788009	1.647444892	1.369485926	1.739801556	1.419553537	\N	\N	\N	\N	\N	\N
Belgium	BEL	Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)	TX.VAL.MRCH.R5.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.856219472	1.648720413	2.027407186	1.891999044	1.594559094	1.974285913	1.886626219	1.901120754	2.128966873	1.768988555	1.881847559	1.739038578	1.919178243	2.412954383	2.545742793	2.508667535	2.423947266	2.602663661	2.372057837	2.477793301	2.334903763	2.204364632	1.874689755	\N
Belgium	BEL	Export unit value index (2000 = 100)	TX.UVI.MRCH.XD.WD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	98.69916651	103.9233515	122.888526	137.1545817	144.5838247	151.3696852	169.170278	188.7264884	167.0718033	169.5053368	189.8942796	179.6671341	184.3761218	182.2502092	151.2787982	146.7179776	157.3220398	169.5345474	161.7707203	162.5447585
Belgium	BEL	Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)	TM.VAL.MRCH.R2.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.630437328	1.430164093	1.503848423	1.76678819	1.77381984	1.725175649	2.091081442	2.599749237	2.792862289	2.925099233	2.969361117	3.114468329	2.920720369	3.500231032	4.180161578	4.011183994	4.42065392	4.801434177	4.097129752	3.846379424	4.464969739	4.579378659	4.068056775	\N
Belgium	BEL	"Share of tariff lines with specific rates, primary products (%)"	TM.TAX.TCOM.SR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	26.06424	25.49622	14.68104	13.51651	14.40344	14.08887	14.54027	8.469366	4.157885	4.070841	6.359293	20.64743	4.211875	4.699732	3.754065	3.298512	4.955564	3.719069	3.594573	3.340821	3.148012	3.740263	3.37444	3.211788	3.399374	3.183203	3.04756	3.011401	2.134678	2.990922	3.064476	3.085244	26.65311
Belgium	BEL	"Share of tariff lines with specific rates, manufactured products (%)"	TM.TAX.MANF.SR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	7.759684	15.07648	0.787311	0.0667286	0.1832033	0.2807202	0.0974516	0.5921111	0.1394267	0.051728	0.058241	0.5613399	0.0238103	0.0314631	0.0221464	0.0221608	0.0332102	0.0263987	0.0168722	0.0326924	0.0153897	0.0169075	0.0315754	0.0290764	0.0276383	0.0258398	0.0332365	0.0318467	0.0401865	0.0359399	0.0282821	0.0663787	0.2467956
Belgium	BEL	"International tourism, number of departures"	ST.INT.DPRT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	5645000	7548000	7776000	6410000	7932000	6570000	6773000	7268000	8783000	9327000	7852000	8371000	8887000	8775000	8801000	9727000	9576000	10803000	10991000	10835000	13372000	12142000	13098000	14191000	5850000
