Data Source	World Development Indicators																																																															
Last Updated Date	4/8/2022																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Belarus	BLR	"Intentional homicides, male (per 100,000 male)"	VC.IHR.PSRC.MA.P5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	9.679482579	8.387267174	6.586984665	6.050599911	5.849181149	4.88799971	5.248268186	5.105190862	4.780973365	4.572391536	3.319413773	3.22755147	\N	\N
Belarus	BLR	Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)	TX.VAL.MRCH.R6.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.104512102	0.415605489	0.394168904	0.137659313	0.87376748	0.736171999	0.744937038	1.855717871	0.458175492	0.305505533	0.390084192	0.319539571	0.153031532	0.209013117	0.273025126	0.290350286	0.447396643	0.516134284	0.662182647	0.635080515	0.271555528	0.39156071	0.453053354	0.591705571	0.703065844	0.793239564	0.686987258	0.66916365	\N
Belarus	BLR	Agricultural raw materials exports (% of merchandise exports)	TX.VAL.AGRI.ZS.UN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.089069611	3.488797864	3.623382379	3.368490026	3.710307506	3.575961378	3.087181311	2.507947455	1.857491673	1.932838657	1.313563855	1.569780726	2.057022072	1.519730522	1.258493526	1.711620019	1.758206103	2.014771754	2.396662293	2.419302488	2.826263131	3.271416464	4.010628579
Belarus	BLR	Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)	TM.VAL.MRCH.R3.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.119882263	1.006249702	0.203806583	0.69541292	0.919531981	1.916169855	1.218246548	1.584440624	1.464701813	1.727256206	1.599093915	1.160173609	0.915692877	1.195933091	1.461034348	0.806906529	0.901518645	0.993522469	4.61865869	3.821414899	1.803237669	1.065650216	1.103301683	1.241951792	1.050033036	1.161545353	1.237266767	1.609920117	\N
Belarus	BLR	"Tariff rate, applied, weighted mean, primary products (%)"	TM.TAX.TCOM.WM.AR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	6.44	7.01	\N	\N	5.83	6.01	6.9	\N	\N	\N	\N	\N	0.88	0.86	1.53	1.19	1.32	1.47	1.39	1.21	1.16	0.95	0.94	3.37	0.98
Belarus	BLR	"Tariff rate, applied, weighted mean, manufactured products (%)"	TM.TAX.MANF.WM.AR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	10.54	11.24	\N	\N	9.34	9.39	10.42	\N	\N	\N	\N	\N	4.58	4.99	3.72	3.8	3.75	4.16	3.27	2.76	2.4	1.89	2.22	2.38	2.34
Belarus	BLR	"International tourism, receipts (current US$)"	ST.INT.RCPT.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	28000000	61000000	40000000	54000000	92000000	188000000	272000000	295000000	339000000	362000000	346000000	401000000	479000000	585000000	563000000	665000000	747000000	986000000	1156000000	1230000000	1013000000	1019000000	1124500000	1221000000	1290000000	542000000
Belarus	BLR	"Population, male (% of total population)"	SP.POP.TOTL.MA.ZS	45.18269252	45.2831695	45.37847289	45.46815903	45.5520923	45.62997812	45.7015195	45.76701847	45.82823102	45.88753883	45.94661453	46.00616844	46.06575529	46.12507921	46.18358914	46.24067578	46.29671531	46.35179327	46.4047603	46.45417336	46.49915511	46.5384419	46.57267872	46.60502297	46.63987958	46.67982899	46.72674186	46.77862697	46.82951221	46.87147373	46.89929747	46.91003697	46.90620895	46.89463868	46.88520698	46.88467678	46.89652035	46.91745044	46.93941396	46.95071964	46.94306465	46.9137174	46.8662207	46.80636435	46.74331793	46.68424234	46.63096661	46.58255871	46.54176966	46.51082421	46.49111689	46.48469579	46.49090028	46.50498297	46.5204731	46.53261682	46.53946086	46.54241858	46.54394578	46.54805986	46.55749339
Belarus	BLR	"Population ages 70-74, male (% of male population)"	SP.POP.7074.MA.5Y	1.929344273	1.894763305	1.860969438	1.82820887	1.795831633	1.764910491	1.734756982	1.702106213	1.6796302	1.682745489	1.716797616	1.773646238	1.843145771	1.91770874	1.985902409	2.041510344	2.071199902	2.094541921	2.116100689	2.135273631	2.146386277	2.133118074	2.123661315	2.103870782	2.050560512	1.955149286	1.811398197	1.635287709	1.475583147	1.389573782	1.401021801	1.472570235	1.597958436	1.767177225	1.969388651	2.194629124	2.431938271	2.692161583	2.940113717	3.121493795	3.20810229	3.201726219	3.105603661	2.981040936	2.901672943	2.89799296	2.96573877	3.097277202	3.228620538	3.266688547	3.170171867	2.974400008	2.681204887	2.383352676	2.192816222	2.155399392	2.236058699	2.311698865	2.312745192	2.258931029	2.252892291
Belarus	BLR	"Population ages 45-49, male (% of male population)"	SP.POP.4549.MA.5Y	4.742007714	4.356900474	3.905661768	3.471377316	3.173149031	3.077507755	3.162287688	3.413889211	3.790951658	4.231663298	4.693205231	5.199959367	5.733821151	6.245141924	6.667959606	6.963998067	7.130330672	7.127966123	7.003455166	6.865189747	6.799414279	6.835588687	6.994353603	7.17484131	7.21821277	7.039182172	6.640705283	6.043948664	5.389917901	4.887711295	4.655803391	4.635609727	4.860114864	5.242871937	5.648042491	5.993731445	6.305322345	6.559221252	6.774764079	6.997087301	7.253852355	7.523400506	7.817407582	8.106989563	8.346364099	8.507083132	8.546052506	8.525052612	8.445182504	8.309082289	8.120978206	7.86806258	7.562078167	7.246831529	6.98766162	6.823314121	6.666000902	6.618274464	6.677690346	6.778384027	6.854554303
