Data Source	World Development Indicators			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Last Updated Date	15-02-22			\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
				\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Cyprus	CYP	"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"	VC.IDP.NWCV	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Cyprus	CYP	Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)	TX.VAL.MRCH.R2.ZS	0.561797753	0.612244898	1.217391304	0.978792822	1.048951049	0.583941606	0.255754476	0.853658537	1.138952164	0.8147628	1.235655891	1.645570715	3.266239639	1.759375582	1.198277713	2.635954877	0.818561969	0.127813332	0.268059519	0.371182462	0.499427288	0.772647737	0.833778983	0.903551625	0.489195264	0.361334669	0.433905577	0.566091571	0.602724048	0.511596957	0.567036167	0.81840848	4.232803227	6.901951485	17.51536116	24.34845812	33.82325929	29.24032247	16.68691434	12.50240888	4.082866409	5.273885919	4.87670102	5.070003022	3.754826546	2.998046114	3.551549686	4.633130739	4.640511344	4.078520606	4.705064241	3.575267095	3.884258749	3.65679743	3.017334254	1.714021539	2.65026212	3.585584775	1.713901602	3.056975816	\N
Cyprus	CYP	Net barter terms of trade index (2000 = 100)	TT.PRI.MRCH.XD.WD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	101.4628282	102.4420489	102.5017758	103.3977229	101.5012574	102.695855	101.384661	106.1028874	96.90976621	98.07296304	96.55800006	93.7322302	92.23766941	92.37390884	92.45742353	90.40567968	90.53554651	93.23014972	90.71928448	82.10131693
Cyprus	CYP	Merchandise imports from high-income economies (% of total merchandise imports)	TM.VAL.MRCH.HI.ZS	88.58447489	86.45276292	85.47351525	84.18640183	83.19006686	85.42396636	84.05703176	85.04326329	86.86390533	84.15187607	85.31683584	86.74982014	84.65380135	84.63972444	81.99803214	77.9559733	79.71651439	77.76480732	81.56413673	80.10757696	77.19797823	77.93432023	76.93904226	80.14484359	78.88979014	81.86578726	83.63604838	84.6250133	84.41849665	84.74756543	84.69994584	83.7261522	81.12915948	82.98682794	78.52529661	79.84324973	78.78560625	79.57944112	83.8936781	81.18336992	79.74887257	79.7183498	74.49785691	76.61811724	83.72843943	84.3119902	82.13002573	83.9929158	84.10718795	86.43207169	84.34274133	85.83984543	86.28205927	88.23908618	77.37550762	76.99549682	80.42780936	77.59718325	76.74528048	83.19968878	\N
Cyprus	CYP	"Share of tariff lines with international peaks, primary products (%)"	TM.TAX.TCOM.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	15.13533	15.71462	20.88422	21.1868	20.77558	17.21824	17.74051	24.90896	31.28151	28.44493	22.96523	18.91264	18.55474	21.59943	21.35761	21.93359	18.66892	17.18664	20.97429	20.77506	17.29213	16.56008	18.11398	16.5732	17.05898	16.65655	19.09314	19.38812	18.67354	18.64967	17.85365	18.68754	5.649583
Cyprus	CYP	"Share of tariff lines with international peaks, manufactured products (%)"	TM.TAX.MANF.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.4063561	0.4008741	8.295054	1.106265	1.329905	1.041209	0.845769	1.452763	0.3301265	0.2679246	0.3513953	0.3784004	0.2983285	0.3778334	0.7196269	0.4205394	0.2702309	0.2756201	0.268422	0.2744931	0.2338828	0.2346173	0.2869706	0.2084837	0.191281	0.1956168	0.3069713	0.3213951	0.2739495	0.2930487	0.2840982	0.2878836	0.1836444
Cyprus	CYP	Urban population (% of total population)	SP.URB.TOTL.IN.ZS	35.628	36.175	36.674	37.176	37.681	38.188	38.698	39.21	39.726	40.242	40.761	41.283	41.807	42.757	45.007	47.277	49.563	51.843	54.119	56.378	58.614	60.809	62.964	63.822	64.252	64.678	65.102	65.524	65.945	66.361	66.776	67.188	67.598	67.792	67.915	68.038	68.161	68.283	68.405	68.527	68.648	68.769	68.694	68.553	68.41	68.268	68.125	67.982	67.839	67.695	67.551	67.406	67.261	67.137	67.031	66.946	66.881	66.836	66.81	66.805	66.821
