Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Germany	DEU	Commercial service exports (current US$)	TX.VAL.SERV.CD.WT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3440748543	4010309307	4958086986	5800906894	7722209512	12423966825	14262255592	17546168578	20571650151	26422732159	24594310700	25259713827	23377899702	22212752034	23308003738	29965868526	36298756075	37265102319	39782705380	49229923924	48422790723	54652440198	52543758089	54685450246	67708618619	68826382620	71664436413	77166372250	76484437381	77850959146	78430185940	92810961105	1.12745E+11	1.43878E+11	1.56317E+11	1.78288E+11	2.08062E+11	2.39209E+11	2.21644E+11	2.25954E+11	2.50544E+11	2.50842E+11	2.71335E+11	2.9798E+11	2.7583E+11	2.88333E+11	3.17381E+11	3.48092E+11	3.46728E+11	3.05137E+11
Germany	DEU	Ores and metals exports (% of merchandise exports)	TX.VAL.MMTL.ZS.UN	\N	\N	2.680237316	2.506184998	2.559779318	3.012920728	3.599099476	3.322151693	3.199960229	2.946518979	2.75771655	2.665738392	2.506925751	2.765165845	3.755817711	2.762916867	2.994573984	2.70585269	2.58179049	2.979253717	3.387480531	2.729356002	2.483426915	2.851075273	2.950378364	2.708036653	2.338905984	2.309098042	2.665176806	2.867417271	2.520390385	2.393801448	2.359545472	2.403025931	2.418154629	2.592428264	2.307256247	2.548871877	2.335835812	2.2378837	2.463462143	2.439805755	2.323259353	2.133661973	2.322251664	2.556838453	3.241060593	3.283069335	3.118345779	2.56724512	3.002627849	3.307545973	3.046182734	2.767158975	2.681126736	2.46485431	2.310848971	2.507449422	2.56915139	2.558944335	2.83242988
Germany	DEU	Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)	TM.VAL.MRCH.WR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Germany	DEU	ICT goods imports (% total goods imports)	TM.VAL.ICTG.ZS.UN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	11.6372883	12.48875802	12.15845411	11.01288661	11.27437151	11.50386171	10.92654019	8.860034623	8.420167423	8.798150154	9.542706357	8.003962926	7.842577208	7.359182819	7.74242734	8.439838038	8.499590369	8.777071485	8.552275003	8.367101945	8.82123633
Germany	DEU	"Tariff rate, most favored nation, simple mean, all products (%)"	TM.TAX.MRCH.SM.FN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	6.24	6.26	8.25	7.05	7.14	7.06	7.05	9.01	8	7.97	7.14	6.79	6.19	6.48	6.13	6	5.83	5.97	5.94	5.57	5.47	5.44	5.6	5.61	5.76	5.71	5.71	5.72	5.69	5.62	5.6	6.16	4.32
Germany	DEU	"International tourism, expenditures (current US$)"	ST.INT.XPND.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	66527000000	64725000000	59000000000	60253000000	61215000000	57607000000	56437000000	59550000000	72839000000	80321000000	84513000000	85717000000	96170000000	1.05691E+11	92899000000	90866000000	99909000000	96196000000	1.02668E+11	1.01737E+11	85334000000	87412000000	97163000000	1.03502E+11	1.01231E+11	\N
Germany	DEU	Completeness of death registration with cause-of-death information (%)	SP.REG.DTHS.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	\N	\N	\N	\N	99.6	\N	\N	\N	\N	100	\N	\N	\N	\N	\N	\N	\N	\N	100	\N	\N	\N	\N	100	\N	\N	\N	\N
Germany	DEU	Age dependency ratio (% of working-age population)	SP.POP.DPND	49.08414829	50.02672578	51.20082104	52.48921642	53.70520678	54.75032689	55.97106948	56.93061891	57.65962304	58.20253768	58.55266127	58.91165034	58.90803055	58.61167888	58.12688264	57.5111421	56.62499968	55.86349038	55.00165935	53.74767075	52.02886197	50.59221329	48.67913764	46.64613125	44.97301857	43.8959804	43.44784069	43.45215345	43.79954836	44.24339837	44.62404599	45.17537024	45.63197276	45.99298749	46.27657496	46.48593766	46.64954728	46.80060051	46.95412521	47.14480773	47.40737313	47.91595923	48.42843558	48.94460142	49.44404729	49.8912304	50.36474056	50.80302623	51.20103956	51.53198126	51.7937458	52.00975112	52.09539734	52.13209521	52.24468346	52.52163128	52.91457287	53.42641775	54.04283612	54.70890859	55.38336207
Germany	DEU	"Population ages 60-64, male (% of male population)"	SP.POP.6064.MA.5Y	5.244572323	5.384173557	5.537382147	5.68575137	5.8022836	5.871049056	5.841204286	5.771246479	5.677903607	5.582058261	5.492566859	5.368029952	5.266489858	5.153167857	4.974631522	4.706791843	4.347234934	3.891686086	3.436461157	3.120935975	3.020825996	3.08414783	3.33935053	3.710807927	4.087358112	4.403740687	4.644244263	4.85376315	5.029466242	5.170323471	5.276729178	5.296618085	5.264840535	5.233412972	5.277187978	5.433289535	5.685728851	6.041582324	6.4248957	6.722047036	6.868050401	6.849736595	6.704480551	6.478654032	6.245840355	6.054378863	5.881502369	5.733247435	5.622702501	5.565931574	5.572630216	5.616247458	5.728319573	5.887896576	6.063240607	6.234198715	6.354263249	6.471051096	6.591643	6.730134695	6.892776064
Germany	DEU	"Population ages 20-24, male (% of male population)"	SP.POP.2024.MA.5Y	9.241606582	9.13146	8.813913434	8.375132239	7.94382289	7.594799181	7.326658046	7.103725349	6.926563945	6.799530041	6.729804622	6.740164009	6.845816675	7.015333616	7.20085577	7.372507607	7.554425665	7.721313293	7.889939374	8.087122375	8.321832729	8.528808021	8.75433271	8.971788794	9.142670334	9.242151715	9.28067358	9.262831055	9.163797477	8.955720537	8.628694473	8.217660761	7.701931259	7.145430462	6.644796365	6.260282445	5.977423453	5.810716107	5.738164302	5.718113604	5.720179109	5.758097573	5.826732552	5.909776874	5.991995874	6.062547201	6.135187881	6.20236362	6.247145411	6.252631224	6.209264619	6.149692395	6.044292593	5.91594634	5.801046418	5.721579265	5.698561512	5.711482416	5.741728045	5.760829051	5.752610392
