Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Denmark	DNK	Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)	TX.VAL.MRCH.WR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Denmark	DNK	ICT goods exports (% of total goods exports)	TX.VAL.ICTG.ZS.UN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	7.206514752	6.75364221	8.425372847	6.627111621	6.237452298	4.942920117	4.574816542	4.654893955	3.372239957	3.39007825	3.651673704	3.399055072	3.283082712	3.231924556	3.585232911	3.664505648	3.674130761	3.866969405	3.717969182	3.647992118	3.955050609
Denmark	DNK	Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)	TM.VAL.MRCH.R6.ZS	0.216955941	0.348002998	0.305796011	0.324598956	0.498103376	0.595829196	0.65653536	1.047752096	1.294508428	1.446838647	1.547354965	2.063274622	1.385922229	1.171082828	1.303964847	1.564237727	1.386803549	1.409030609	1.11524289	1.300907528	2.042033904	2.476321038	2.028668574	1.765986093	1.505553622	1.641805624	0.948870601	0.330005503	0.318125924	0.667850563	0.616806034	0.229357122	0.251276205	0.565537468	0.615151374	0.626865327	0.832147516	0.622121554	0.541085265	0.341113664	0.354091668	0.392734093	0.405234794	0.434896243	0.857135125	0.403497729	0.397319229	0.425663163	0.42996041	0.302223771	0.456065955	0.500284516	0.47173131	1.09586218	0.83067999	0.708696745	0.384871693	0.356733576	0.343437152	0.608441519	\N
Denmark	DNK	Agricultural raw materials imports (% of merchandise imports)	TM.VAL.AGRI.ZS.UN	\N	\N	5.911229601	6.243840845	6.416721576	6.348136624	6.08921267	5.432905377	5.184735335	4.979950874	4.901882602	4.272677676	4.704518154	5.047967727	4.505825226	3.631395743	3.996793375	4.012048832	4.246783013	4.552389444	4.551677234	4.250638296	4.119716475	4.389228648	3.628777014	3.434273833	3.582636145	3.639387497	3.847233417	3.672497015	3.325872255	2.991510188	3.058367246	2.781246072	3.113879202	2.96433546	2.599689216	3.06847696	2.94339891	2.82310216	2.666669812	2.634783023	2.560277858	2.753165854	2.480515746	2.260968039	2.318132336	2.332384512	1.950007546	2.127855501	2.392023776	2.47855799	2.295377058	2.555204384	2.7131452	2.826453266	2.616596002	2.607325825	2.615135663	2.478874294	2.423363203
Denmark	DNK	"Bound rate, simple mean, all products (%)"	TM.TAX.MRCH.BR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	4.09	6.16	6.09	6.07	6.08	6.1	6.32	6.24	6.24	6.09	6.27	6.23	6.16	5.93	5.9	5.88	5.83	6.02	5.92	5.9	4.39	4.39	4.39	4.39	4.39	4.39
Denmark	DNK	"International tourism, expenditures for passenger transport items (current US$)"	ST.INT.TRNX.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Denmark	DNK	"Completeness of birth registration, rural (%)"	SP.REG.BRTH.RU.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Denmark	DNK	"Population ages 80 and above, female (% of female population)"	SP.POP.80UP.FE.5Y	1.767206216	1.864969082	1.943667357	2.000681454	2.034775212	2.047386809	2.158415923	2.250919963	2.325274867	2.381804758	2.422608109	2.561718252	2.681107213	2.783878177	2.874326397	2.956204365	3.119205765	3.265466209	3.395119202	3.507939163	3.606627421	3.783371813	3.936073527	4.068257502	4.183321305	4.284642364	4.469964038	4.626257722	4.754972212	4.857606497	4.935470103	5.064746692	5.156470958	5.210663095	5.224507839	5.199900138	5.271696334	5.301820098	5.302494464	5.286596871	5.260651441	5.346658532	5.404481006	5.432508358	5.425388533	5.383693896	5.420718336	5.419704233	5.391373672	5.34477621	5.286636084	5.311927552	5.311612524	5.290880681	5.2590613	5.22901779	5.31386007	5.390615944	5.465762605	5.548333078	5.648813084
Denmark	DNK	"Population ages 55-59, female (% of female population)"	SP.POP.5559.FE.5Y	5.78243391	5.822071869	5.875806697	5.932629164	5.978613887	6.007704054	6.010647099	6.008081047	5.99433025	5.964019329	5.915848026	5.841402917	5.745519586	5.647447146	5.576171184	5.546959068	5.544652709	5.588028566	5.649460079	5.686318207	5.673975195	5.613870283	5.511928424	5.386961182	5.268455807	5.17460763	5.092828195	5.033468595	4.995198553	4.974505295	4.970283698	4.969248289	4.987798136	5.035671751	5.128287756	5.27290836	5.449540228	5.672314961	5.920073097	6.163928159	6.384582572	6.583683479	6.765589353	6.912015953	6.996021172	7.002624641	6.914521066	6.749141556	6.545013789	6.361315847	6.23547917	6.107939489	6.048824017	6.076008902	6.159205315	6.250841379	6.353552576	6.442801488	6.522115001	6.602841632	6.68886263
Denmark	DNK	"Population ages 15-64, total"	SP.POP.1564.TO	2939628	2963981	2994219	3026185	3056997	3084306	3106547	3127998	3143027	3155777	3174761	3190658	3202373	3216119	3228186	3238181	3246711	3261304	3279613	3298851	3316624	3330626	3346171	3363629	3381217	3399811	3418438	3432989	3442217	3451103	3463436	3472769	3486039	3499270	3510923	3526983	3538680	3545423	3550427	3554798	3560284	3566801	3571923	3575636	3579185	3583293	3587339	3595618	3608862	3619861	3627218	3629632	3631273	3632226	3634226	3643647	3664797	3680871	3692214	3699937	3706107
Denmark	DNK	"Population ages 0-14, female"	SP.POP.0014.FE.IN	561643	560269	557581	554298	552010	551172	552603	554141	555159	556276	558729	559506	560509	561737	560957	557276	553063	547026	539291	530349	520314	508448	496119	483705	471604	460641	450740	442747	436097	430803	427228	428129	429901	432778	437099	443457	451644	458966	466080	473056	479778	483708	487965	491695	494121	495050	494502	493296	491832	489352	485724	483556	478653	472923	468391	466354	463313	463182	464222	464012	461878
Denmark	DNK	"Mortality rate, infant, female (per 1,000 live births)"	SP.DYN.IMRT.FE.IN	18.1	17.6	17.1	16.5	15.8	15	14.1	13.3	12.7	12.1	11.6	11	10.4	9.7	9.1	8.6	8.1	7.7	7.4	7.2	7	6.9	6.8	6.7	6.8	6.8	6.9	6.9	6.9	6.7	6.4	6.1	5.7	5.3	5	4.8	4.6	4.5	4.4	4.3	4.2	4.2	4.1	4	3.9	3.8	3.6	3.5	3.3	3.2	3.2	3.1	3.1	3.2	3.2	3.2	3.2	3.1	3	2.9	2.8
Denmark	DNK	Refugee population by country or territory of asylum	SM.POP.REFG	2300	2200	2200	2200	\N	\N	\N	\N	\N	\N	2000	4400	3687	3687	2900	2125	2100	1764	1800	1800	1800	1800	1800	3600	8500	8500	23000	30000	27310	30726	32887	36100	39124	44570	49564	64850	66371	68106	68996	68982	71017	73284	73600	69855	65305	44362	36650	26779	23385	20340	17907	13386	11797	13153	17767	27312	33501	35668	36623	37533	36718
Denmark	DNK	"Unemployment with intermediate education, female (% of female labor force with intermediate education)"	SL.UEM.INTM.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	6.190000057	5.590000153	5	4.760000229	3.690000057	4.760000229	5.849999905	5.409999847	3.869999886	3.630000114	3.569999933	5.260000229	6.150000095	6.71999979	7.170000076	7.5	6.920000076	5.849999905	5.800000191	5.210000038	4.420000076	4.610000134	5.46999979
