Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Spain	ESP	"Intentional homicides (per 100,000 people)"	VC.IHR.PSRC.P5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.234507228	1.118346531	1.118397897	1.198460638	1.081692248	1.032990006	0.994764033	1.156479811	1.298457043	1.201350496	1.354570616	1.396437429	1.34543291	1.378048948	1.200692384	1.176761424	1.06419699	1.060994622	0.883461047	0.884432076	0.854445688	0.817683334	0.773430388	0.643504017	0.69049661	0.647070029	0.630439538	0.658128503	0.621079928	\N	\N
Spain	ESP	"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"	TX.VAL.MRCH.RS.ZS	9.449579252	8.243072162	7.521460689	7.255434783	5.972964477	5.319487125	6.224099458	8.081538239	6.364735212	6.499192876	7.671741832	5.480859868	5.380553963	5.406977308	6.555282305	6.287784976	6.488161615	6.10264785	6.05193318	6.002510155	6.336907417	7.937462861	5.783546944	6.250373863	6.436460581	7.100372438	5.551090048	6.642379619	6.555725804	7.489802357	7.40535864	7.372068631	5.116724927	4.321392976	5.221907302	3.757997308	4.704969878	1.892080515	1.732227647	1.931098636	3.078120851	2.75929998	2.642229179	2.984030601	2.988702187	3.39195407	3.911244889	3.788921577	4.392894446	3.792874012	3.778702602	3.956595394	4.333345192	4.44095306	4.016754879	3.123883178	2.637240844	2.887897026	3.343125563	2.928512038	\N
Spain	ESP	Food exports (% of merchandise exports)	TX.VAL.FOOD.ZS.UN	\N	\N	55.5006437	52.08509978	52.85242408	47.17243942	43.55917696	44.98034453	36.58928975	33.2638713	35.11803957	30.84430499	27.94384415	29.29375628	24.04679783	22.22644077	22.51903328	21.1672661	19.70680415	20.29403565	17.97869978	18.537322	16.1265013	15.74443256	15.64614117	14.88791479	16.33809319	17.78352368	17.22490309	15.76032951	14.72795963	15.43229526	15.19230114	15.90894012	15.837576	15.42536784	15.52165181	15.8496325	15.2544997	14.60381604	13.54914863	14.56918646	15.05481127	15.06852851	14.50105976	14.10391094	13.54900054	13.67011676	14.28429249	16.17025025	15.15326866	14.55371847	15.27006655	15.36401821	15.74300916	16.48969319	16.99086138	16.80850347	15.86788572	16.42379742	18.96170614
Spain	ESP	Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)	TM.VAL.MRCH.R4.ZS	10.95109083	7.290118871	6.047140649	5.442809192	6.125635763	4.086114531	3.888115781	4.382161215	6.431356244	5.92622193	5.820073504	6.555927506	5.711574255	5.109158741	8.412763332	8.504300197	12.33130658	14.2777199	13.28708026	11.39164171	14.27447905	12.1338743	12.69534552	16.20196963	13.73304042	15.04288474	8.736100414	5.933158069	4.044186213	4.837524984	4.710473303	4.041792951	3.758138173	4.091339762	4.073870859	3.708684698	3.780187755	4.216131852	3.313005967	3.700849134	5.410041306	5.180250718	4.607773903	4.408967608	4.698052263	5.538962997	5.986758775	5.228211596	6.645813374	6.16778307	6.842212289	6.540952266	7.146796161	6.72242811	5.895464675	5.09692333	5.102503602	5.584859698	6.124769037	5.425597135	\N
Spain	ESP	"Tariff rate, most favored nation, weighted mean, primary products (%)"	TM.TAX.TCOM.WM.FN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.47	3.32	3.55	3.89	4.19	4.15	4.12	9.96	8.74	7.35	7.42	7.39	4.74	5.34	4.18	4.66	3.91	3.58	3.06	3.02	2.49	3	2.6	2.44	2.15	2.4	2.58	2.61	3.21	3.05	2.62	2.72	2.18
Spain	ESP	"Tariff rate, most favored nation, weighted mean, manufactured products (%)"	TM.TAX.MANF.WM.FN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	5.84	5.8	7.59	6.79	7.15	7.01	6.82	6.4	5.03	5.06	4.11	3.66	3.42	3.64	3.86	3.82	3.56	3.53	3.49	3.36	3.36	3.39	3.38	3.42	3.36	3.39	3.42	3.43	3.39	3.47	3.42	3.39	3.23
Spain	ESP	"International tourism, receipts (% of total exports)"	ST.INT.RCPT.XP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	20.43830307	20.19488035	18.98987843	19.77194487	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Spain	ESP	"Completeness of birth registration, female (%)"	SP.REG.BRTH.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	\N	\N	\N
Spain	ESP	"Population ages 75-79, female (% of female population)"	SP.POP.7579.FE.5Y	1.728007974	1.775548018	1.827788365	1.877912309	1.920286491	1.956143623	1.98193025	2.002769965	2.019071783	2.0335324	2.051934753	2.065644609	2.076124938	2.093204587	2.132273029	2.202438537	2.289458136	2.401653097	2.520974928	2.624899763	2.705378988	2.746289519	2.770526755	2.792291126	2.829262131	2.889768852	2.948805922	3.026580639	3.108582404	3.175409512	3.219229833	3.211216811	3.181058087	3.15172977	3.158610337	3.221340307	3.290976091	3.41263535	3.562124037	3.708688949	3.83684528	3.88623014	3.920096054	3.95001307	3.994516304	4.061766532	4.145640403	4.255189258	4.354165304	4.396787728	4.358842712	4.229582381	4.043828231	3.846216956	3.706089006	3.663200015	3.675253897	3.773005317	3.92354772	4.083363595	4.227860809
Spain	ESP	"Population ages 50-54, female (% of female population)"	SP.POP.5054.FE.5Y	5.437049457	5.448831024	5.500335812	5.561289561	5.58644844	5.553872521	5.476054557	5.347321001	5.2064894	5.111850281	5.095605501	5.149450357	5.27284053	5.434416975	5.585364545	5.696824297	5.765985474	5.799151147	5.813884008	5.839817247	5.892631686	5.959250339	6.056445122	6.148022521	6.178432797	6.11807944	5.981716206	5.755136877	5.491202812	5.270159394	5.139452889	5.084332285	5.110393815	5.193491308	5.294002752	5.388809069	5.486038885	5.594615276	5.703045134	5.796690458	5.867582518	5.897354142	5.899775006	5.89836695	5.928903822	6.011179703	6.065018876	6.163650876	6.296175422	6.438446445	6.574088984	6.760214426	6.942477973	7.110209525	7.249868926	7.354393337	7.438222494	7.480216649	7.500242267	7.529520989	7.585692478
