Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Ireland	IRL	"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"	VC.IDP.NWCV	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Ireland	IRL	Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)	TX.VAL.MRCH.R2.ZS	\N	\N	\N	\N	0.016087516	0.047938639	0.04379562	0.076462342	0.025087807	0.050547031	0.029952848	0.035259309	0.087184501	0.075149477	0.07038781	0.05543115	0.097574828	0.064808519	0.052104787	0.110018364	0.085910552	0.207106446	0.054797318	0.071587961	0.061417287	0.120423449	0.113782441	0.102454085	0.117948704	0.076760833	0.156420647	0.142390551	0.10978195	0.540042908	0.854287407	1.135623161	1.147678776	1.118638418	0.849805487	0.7992442	0.801076823	0.693819713	0.717023182	0.759933813	0.715778597	0.755061972	0.904169022	1.064119275	1.075857418	0.957078829	1.20824251	1.357525429	1.501914918	1.678020853	1.79099223	1.191693956	0.996909178	1.091784393	1.01748738	1.111788045	\N
Ireland	IRL	Net barter terms of trade index (2000 = 100)	TT.PRI.MRCH.XD.WD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	101.3521994	100.9557562	100.5520066	98.15205343	101.3929835	99.10809723	97.30316776	96.28509824	99.36655773	101.236991	95.71018889	94.17110626	92.77615275	91.74574461	96.68188659	97.76549383	94.81090644	90.81853541	91.65565783	91.73080661
Ireland	IRL	Merchandise imports from high-income economies (% of total merchandise imports)	TM.VAL.MRCH.HI.ZS	82.63216384	83.72667398	83.57563851	84.67675701	85.86338741	85.34773801	86.5015361	85.51436515	86.55240044	88.10307018	90.15448937	88.27840825	89.2775066	90.04845363	88.91450548	89.31405888	89.34309005	89.5069605	90.90666142	91.52284505	92.46343722	93.86268204	93.52462279	92.99588051	92.64402649	92.84281791	93.25750142	93.48767713	92.54523438	92.78986799	92.85444189	92.82853259	93.13612151	90.56734431	89.17136004	89.07983143	86.88916143	88.54978755	89.98955339	89.83706667	88.97586489	90.22080024	91.95084721	90.50403258	90.48543741	90.5798057	90.63674987	90.61242162	90.78518515	89.19355593	90.0291787	89.90401621	87.75852194	90.04456586	89.65983404	89.80363491	90.77614449	90.18661273	87.62015436	84.7353959	\N
Ireland	IRL	"Share of tariff lines with international peaks, primary products (%)"	TM.TAX.TCOM.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	15.13533	15.71462	20.88422	21.1868	20.77558	17.21824	17.74051	24.90896	31.28151	28.44493	22.96523	18.91264	18.55474	21.59943	21.35761	21.93359	18.66892	17.18664	20.97429	20.77506	17.29213	16.56008	18.11398	16.5732	17.05898	16.65655	19.09314	19.38812	18.67354	18.64967	17.85365	18.68754	5.649583
Ireland	IRL	"Share of tariff lines with international peaks, manufactured products (%)"	TM.TAX.MANF.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.4063561	0.4008741	8.295054	1.106265	1.329905	1.041209	0.845769	1.452763	0.3301265	0.2679246	0.3513953	0.3784004	0.2983285	0.3778334	0.7196269	0.4205394	0.2702309	0.2756201	0.268422	0.2744931	0.2338828	0.2346173	0.2869706	0.2084837	0.191281	0.1956168	0.3069713	0.3213951	0.2739495	0.2930487	0.2840982	0.2878836	0.1836444
Ireland	IRL	Urban population (% of total population)	SP.URB.TOTL.IN.ZS	45.184	45.393	45.603	45.813	46.023	46.233	46.637	47.795	48.956	50.115	51.276	52.269	52.611	52.952	53.294	53.634	53.975	54.315	54.655	54.994	55.333	55.634	55.794	55.955	56.115	56.275	56.427	56.553	56.678	56.804	56.929	57.073	57.293	57.512	57.731	57.949	58.173	58.419	58.664	58.91	59.155	59.399	59.649	59.925	60.202	60.477	60.738	60.94	61.141	61.342	61.542	61.742	61.942	62.141	62.34	62.538	62.737	62.947	63.17	63.405	63.653
Ireland	IRL	"Population, total"	SP.POP.TOTL	2828600	2824400	2836050	2852650	2866550	2877300	2888800	2902450	2915550	2932650	2957250	2992050	3036850	3085950	3137500	3189550	3238050	3282200	3329100	3373750	3412800	3453000	3485800	3510600	3532423	3538082	3539690	3540057	3524949	3511009	3513974	3534235	3558430	3576261	3590386	3608841	3637510	3674171	3712696	3754786	3805174	3866243	3931947	3996521	4070262	4159914	4273591	4398942	4489544	4535375	4560155	4580084	4599533	4623816	4657740	4701957	4755335	4807388	4867316	4934340	4994724
Ireland	IRL	"Population ages 65 and above, male (% of male population)"	SP.POP.65UP.MA.ZS	10.59992104	10.59388914	10.57699439	10.54262056	10.48414	10.4001648	10.39327402	10.37487418	10.33669954	10.27000404	10.17150053	10.09862219	9.982368986	9.848516181	9.72888142	9.637064421	9.634244995	9.64958973	9.661140892	9.635939986	9.559906531	9.596196952	9.580365309	9.532207155	9.477139114	9.427003908	9.481612558	9.539113661	9.587197573	9.60384188	9.576860747	9.547797302	9.475813233	9.382379732	9.294982494	9.22662663	9.17497453	9.137111281	9.11346687	9.099683106	9.094370506	9.116203014	9.14520633	9.182892041	9.227634369	9.280008126	9.415520594	9.547688124	9.689353955	9.859886297	10.06994435	10.41561618	10.79501984	11.19789206	11.60670548	12.01197458	12.38468607	12.75586157	13.12342418	13.48425416	13.83801327
Ireland	IRL	"Population ages 35-39, male (% of male population)"	SP.POP.3539.MA.5Y	5.616019749	5.420622394	5.170827652	4.904602704	4.678992977	4.526439208	4.456177907	4.473374372	4.551064959	4.640607966	4.707340519	4.76082834	4.809804525	4.861399691	4.926124593	5.006868202	5.079160778	5.163294563	5.272531683	5.422562105	5.61384121	5.812366894	6.054075778	6.309655893	6.535247078	6.701559765	6.817396374	6.888042447	6.916959698	6.906446581	6.853437395	6.787928684	6.692098919	6.592943834	6.522961067	6.49329098	6.538529807	6.649499692	6.798117359	6.93693509	7.032174386	7.068450902	7.092390578	7.133018348	7.233176094	7.409611017	7.526685124	7.705264095	7.915013149	8.110690138	8.262474248	8.307408612	8.305905071	8.268072658	8.208996929	8.134611108	8.072448381	8.008462284	7.926180163	7.801502466	7.625393202
Ireland	IRL	"Population ages 10-14, male (% of male population)"	SP.POP.1014.MA.5Y	10.50570902	10.53213946	10.51302495	10.46497738	10.41777482	10.38718434	10.25587866	10.1470965	10.05194888	9.981336573	9.957938486	9.926175487	9.949882026	10.01762661	10.08826831	10.11460121	10.04671497	9.949318672	9.832957629	9.742702803	9.724200875	9.761703847	9.871393331	10.02092797	10.16646659	10.27413374	10.32140374	10.35591972	10.36153057	10.3473965	10.33253402	10.27582678	10.2272656	10.166827	10.06068999	9.874935388	9.539320485	9.159838767	8.751584294	8.355191534	8.007621495	7.620052456	7.302696061	7.05124911	6.850429701	6.686789386	6.569028441	6.487786735	6.443761617	6.432742784	6.44665219	6.471021142	6.521944652	6.589359886	6.682206716	6.817198716	6.939786382	7.083149461	7.231115649	7.354056979	7.42672708
Ireland	IRL	Wanted fertility rate (births per woman)	SP.DYN.WFRT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Ireland	IRL	"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	10.5048	11.3404	12.176	12.6428	13.1096	13.5764	14.0432	14.51	15.7822	17.0544	18.3266	19.5988	20.871	21.092	21.313	21.534	21.755	21.976	21.564	21.152	20.74	20.328	19.916	19.0898	18.2636	17.4374	16.6112	15.785	15.8634	15.9418	16.0202	16.0986	16.177	16.58	16.983	17.386	17.789	18.192	18.3116	18.4312	18.5508	18.6704	18.79	18.2878	17.7856	17.2834	16.7812	16.279	15.1788	14.0786	12.9784	11.8782	10.778	10.1254	9.4728	8.8202	8.1676	7.515	7.0566	6.5982	\N
Ireland	IRL	"Unemployment, male (% of male labor force) (modeled ILO estimate)"	SL.UEM.TOTL.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	15.3409996	14.8760004	15.44200039	14.48799992	11.92700005	11.68099976	10.22700024	7.93900013	5.925000191	4.353000164	3.773999929	4.552000046	4.816999912	4.960000038	4.585000038	4.558000088	5.019000053	7.59800005	15.08100033	17.06200027	17.68700027	17.67700005	14.82400036	12.67599964	10.7329998	9.015999794	7.065999985	5.781000137	5.170000076	5.597000122
Ireland	IRL	"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"	SL.UEM.1524.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	22.47299957	22.04299927	24.12000084	22.1989994	18.24500084	17.54999924	15.36900043	11.08100033	8.293000221	6.328999996	5.938000202	7.486999989	7.834000111	8.012999535	8.229999542	8.265999794	9.201000214	13.5880003	24.68700027	28.2310009	29.62899971	30.87599945	26.85499954	23.56800079	20.39299965	16.88299942	14.47099972	13.84700012	12.56000042	15.3579998
Ireland	IRL	"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"	SL.TLF.CACT.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	74.78900146	74.69200134	72.05899811	71.625	71.90399933	71.65299988	71.72599792	71.98400116	73.61399841	74.68699646	75.36199951	74.97599792	74.15299988	74.06800079	74.38999939	75.85800171	76.53399658	76.4469986	75.24500275	72.27200317	70.17099762	69.20200348	68.75299835	68.89800262	68.85199738	69.08200073	69.02700043	68.54699707	68.51799774	68.64600372	67.36499786
Ireland	IRL	"Labor force participation rate for ages 15-24, total (%) (national estimate)"	SL.TLF.ACTI.1524.NE.ZS	\N	71.05999756	\N	\N	\N	\N	69.47000122	\N	\N	\N	\N	63.20000076	\N	\N	\N	64.5	\N	60.13999939	\N	\N	\N	60.59000015	\N	60.41999817	59.04999924	57.74000168	56.36000061	54.38000107	52.22999954	50.84000015	49.93999863	49.04000092	46.04000092	46.68999863	46.38000107	44.95999908	43.47000122	45.56999969	48.5	50.59000015	51.43000031	49.86000061	48.72999954	49.41999817	48.88000107	53.27999878	54.99000168	69.37000275	65.95999908	60.06000137	53.86000061	51.36999893	50.27000046	49.88999939	48.04999924	47.41999817	50.45999908	46.68999863	46.72000122	47.06000137	43.68000031
Ireland	IRL	"Children in employment, study and work, female (% of female children in employment, ages 7-14)"	SL.TLF.0714.SW.FE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Ireland	IRL	Employment in industry (% of total employment) (modeled ILO estimate)	SL.IND.EMPL.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	27.46999931	27.29000092	27.14999962	27.84000015	27.78000069	27.32999992	28.54999924	28.68000031	28.29999924	28.45999908	28.93000031	27.62000084	27.73999977	27.60000038	27.60000038	27.77000046	25.77000046	23.29000092	19.85000038	18.09000015	17.45000076	16.97999954	17.22999954	17.29999924	18.11000061	18.54999924	18.84000015	18.80999947	18.77000046	\N
Ireland	IRL	"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"	SL.EMP.TOTL.SP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	47.61000061	46.89500046	47.10900116	48.23400116	49.82799911	50.68199921	52.17399979	55.44499969	58.05500031	59.82899857	60.14199829	59.93899918	59.97700119	60.23799896	62.2840004	62.95600128	63.31200027	61.47600174	56.00799942	53.50400162	52.45800018	52.11700058	53.45299911	54.43500137	55.70299911	56.97600174	57.82099915	58.60100174	59.25400162	57.69400024
Ireland	IRL	"Employment to population ratio, ages 15-24, male (%) (national estimate)"	SL.EMP.1524.SP.MA.NE.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	50.16999817	46.81000137	45.88000107	42.91999817	41.58000183	41.20000076	41.65000153	42.65999985	40.08000183	37.52000046	36.11000061	36.90999985	38.52000046	37.79000092	40.88999939	46.06999969	49.56000137	52.47999954	51.18000031	48.13000107	48.38999939	48.20000076	51.47000122	53.95000076	66.83999634	58.52000046	42.93000031	36.54000092	34.22000122	32.49000168	35.97000122	36.86000061	38.33000183	42.22000122	40.15999985	41.20999908	41.36000061	37.5
