Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Luxembourg	LUX	"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"	VC.IDP.NWCV	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Luxembourg	LUX	Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)	TX.VAL.MRCH.R2.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1.45101946	1.05582754	0.812648522	0.964387826	0.902077921	1.019524789	0.90665601	1.254573571	1.76250824	2.473121161	3.4717884	2.714648161	2.085807524	3.526543703	4.882338259	5.090098924	4.149627101	2.421747089	2.178023561	2.335777196	2.461344491	2.813278407	2.966011575	\N
Luxembourg	LUX	Net barter terms of trade index (2000 = 100)	TT.PRI.MRCH.XD.WD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	98.78730737	100.3951193	94.70325703	89.72408886	88.91221581	85.84465066	85.15535139	82.07575403	82.90308886	79.77488031	77.90731105	75.34776834	75.01705656	73.4594232	75.74993753	73.77014629	72.83363701	71.18666993	70.04589933	70.34010973
Luxembourg	LUX	Merchandise imports from high-income economies (% of total merchandise imports)	TM.VAL.MRCH.HI.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	98.46285588	97.84489767	97.60447004	97.13641121	97.23916918	98.05912418	87.0696441	84.12139939	83.17464096	79.17178802	80.70452324	80.36069277	79.61150149	88.96938153	90.25653613	88.72658632	89.83482553	89.66082539	83.24455172	88.84658184	93.28190802	95.34722359	91.86754457	\N
Luxembourg	LUX	"Share of tariff lines with international peaks, primary products (%)"	TM.TAX.TCOM.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	15.13533	15.71462	20.88422	21.1868	20.77558	17.21824	17.74051	24.90896	31.28151	28.44493	22.96523	18.91264	18.55474	21.59943	21.35761	21.93359	18.66892	17.18664	20.97429	20.77506	17.29213	16.56008	18.11398	16.5732	17.05898	16.65655	19.09314	19.38812	18.67354	18.64967	17.85365	18.68754	5.649583
Luxembourg	LUX	"Share of tariff lines with international peaks, manufactured products (%)"	TM.TAX.MANF.IP.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.4063561	0.4008741	8.295054	1.106265	1.329905	1.041209	0.845769	1.452763	0.3301265	0.2679246	0.3513953	0.3784004	0.2983285	0.3778334	0.7196269	0.4205394	0.2702309	0.2756201	0.268422	0.2744931	0.2338828	0.2346173	0.2869706	0.2084837	0.191281	0.1956168	0.3069713	0.3213951	0.2739495	0.2930487	0.2840982	0.2878836	0.1836444
Luxembourg	LUX	Urban population (% of total population)	SP.URB.TOTL.IN.ZS	69.556	69.927	70.443	70.953	71.459	71.958	72.452	72.941	73.425	73.902	74.374	74.916	75.528	76.127	76.717	77.297	77.867	78.426	78.975	79.513	80.042	80.444	80.501	80.557	80.613	80.669	80.725	80.78	80.836	80.891	80.947	81.13	81.528	81.857	82.482	82.893	82.825	82.779	82.893	83.448	84.216	84.843	85.299	85.743	86.177	86.598	87.009	87.409	87.8	88.178	88.547	88.906	89.249	89.574	89.884	90.179	90.46	90.727	90.981	91.223	91.453
Luxembourg	LUX	"Population, total"	SP.POP.TOTL	313970	316845	320750	324100	327750	331500	333895	334995	335850	337500	339171	342421	346600	350450	355050	358950	360731	361358	362007	362856	364150	365225	365525	365622	365998	366706	368355	370750	373450	377100	381850	387000	392175	397475	402925	408625	414225	419450	424700	430475	436300	441525	446175	451630	458095	465158	472637	479993	488650	497783	506953	518347	530946	543360	556319	569604	582014	596336	607950	620001	632275
Luxembourg	LUX	"Population ages 65 and above, male (% of male population)"	SP.POP.65UP.MA.ZS	9.665252846	9.762377882	9.842260511	9.911100809	9.977725245	10.05065644	10.21152399	10.36138119	10.48759613	10.59747135	10.67911582	10.80942501	10.90128045	10.95479151	10.97715147	10.95954249	11.1025386	11.1988771	11.22953509	11.17990358	11.03895738	11.02300208	10.93487129	10.79608152	10.62820686	10.45516251	10.3595814	10.25110276	10.15442619	10.09553122	10.08458244	10.22538114	10.39921606	10.58356842	10.73642312	10.8450149	11.00589505	11.12354218	11.20949303	11.2704252	11.31539618	11.49125315	11.64556152	11.77849838	11.8932529	11.98397769	11.97667542	11.94992122	11.92355543	11.91516668	11.93593265	11.98450866	12.05411775	12.14113708	12.23508825	12.33682908	12.44524395	12.55981784	12.68423711	12.81926007	12.97589604
Luxembourg	LUX	"Population ages 35-39, male (% of male population)"	SP.POP.3539.MA.5Y	6.343526141	6.648179977	7.024217949	7.413277868	7.726051536	7.907451975	7.969626697	7.89775081	7.737925425	7.570831117	7.448463983	7.351959171	7.297458594	7.27139722	7.250057991	7.227924424	7.176330739	7.127798014	7.098650193	7.120584172	7.216935743	7.324672403	7.499226333	7.713095372	7.914191196	8.069401905	8.157800785	8.203317412	8.226564812	8.259684525	8.322805139	8.346764605	8.37837697	8.422870004	8.484919075	8.569418176	8.652300249	8.757119609	8.863442179	8.949641779	9.007062811	9.009673641	8.977120462	8.906324406	8.795953449	8.651603337	8.498425895	8.312822041	8.107568312	7.922460849	7.798348771	7.707366898	7.632688211	7.571293179	7.528066423	7.518958237	7.568693957	7.643269382	7.717132493	7.764456302	7.78995979
