Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Norway	NOR	Battle-related deaths (number of people)	VC.BTL.DETH	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Norway	NOR	Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)	TX.VAL.MRCH.R1.ZS	1.240610061	1.294219154	0.504894384	0.859010271	0.88633183	0.611408323	0.685941407	0.985136536	1.02241041	0.548392954	0.267695424	0.706052436	0.837610961	0.850501657	1.626990705	2.262801986	0.732304638	2.19815544	1.259071926	1.109174094	1.015758481	0.607438237	0.811528356	0.63838013	0.812315257	0.847434358	0.691214281	0.86305688	0.854098244	0.785165133	0.762022136	0.840382051	0.91342792	1.053477546	1.013578719	1.026211102	1.206011399	1.259196781	0.989030557	1.466261351	0.709963084	1.436409535	1.863879929	1.556583972	1.396923309	1.10954664	1.7067586	1.625129653	1.457572207	2.504699404	2.34775438	2.359471948	2.068819542	2.499668778	3.158320618	3.988439015	3.867544904	3.171632825	2.838613894	5.068489966	\N
Norway	NOR	Travel services (% of commercial service imports)	TM.VAL.TRVL.ZS.WT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	19.75840153	19.30112568	21.74755694	23.3425024	22.85288731	21.26879993	22.11399604	24.86991142	23.85970223	22.07826768	24.87307293	30.75328212	32.85838127	34.76352204	28.38897857	30.06488842	27.28586004	28.06707639	27.19072461	29.91665028	30.53719568	31.88979122	29.56517351	30.40943958	30.36998819	29.54194466	26.68702671	28.1418246	32.09047059	34.88851669	33.36361596	33.97127481	29.46697051	29.65209653	32.8988457	29.97143942	33.22482893	31.72846807	32.85003435	32.28403408	32.43958253	31.23717531	32.71965407	32.745366	30.68424115	9.614418724
Norway	NOR	Merchandise imports (current US$)	TM.VAL.MRCH.CD.WT	1462000000	1616000000	1664000000	1822000000	1984000000	2210000000	2404000000	2748000000	2706000000	2942000000	3702000000	4075000000	4373000000	6289000000	8420000000	9705000000	11121000000	12883000000	11497000000	13706000000	16926000000	15650000000	15477000000	13497000000	13885000000	15556000000	20301000000	22639000000	23220000000	23676000000	27231000000	25572000000	26072000000	24081000000	27432000000	32968000000	35615000000	35709000000	37473000000	34166000000	34391000000	32955000000	34873000000	40055000000	48534000000	55488000000	64261000000	80297000000	90293000000	68970000000	77330000000	90784000000	87308000000	89808000000	89460000000	76424000000	72110000000	81249000000	86600000000	85319000000	80447000000
Norway	NOR	"Bound rate, simple mean, primary products (%)"	TM.TAX.TCOM.BR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.66	0.64	0.64	0.64	0.64	0.64	0.64	88.45	87.01	84.7	86.32	86.24	84.26	80.02	78.61	78.13	77.85	79.77	79.22	78.53	0.54	0.54	0.56	0.56	0.56	0.56
Norway	NOR	"Bound rate, simple mean, manufactured products (%)"	TM.TAX.MANF.BR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.29	3.3	3.3	3.3	3.3	3.3	3.3	4.55	4.55	4.55	4.55	4.55	4.56	4.54	4.54	4.54	4.55	4.55	4.54	4.53	3.38	3.38	3.4	3.4	3.4	3.4
Norway	NOR	Urban population	SP.URB.TOTL	1787755	1840926	1915999	1991003	2066761	2143353	2220995	2299864	2379197	2457954	2534594	2584983	2624297	2662165	2698139	2732467	2764638	2795553	2825403	2854061	2882201	2902056	2918125	2933210	2946922	2961159	2977158	2996568	3018161	3036098	3051994	3079741	3114713	3150384	3185372	3216511	3244905	3280785	3324794	3371823	3414033	3447513	3482266	3518773	3554092	3591141	3632998	3684159	3744286	3805760	3867496	3935476	4008535	4078226	4145335	4207493	4265348	4320306	4368945	4418218	4463566
Norway	NOR	Technicians in R&D (per million people)	SP.POP.TECH.RD.P6	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Norway	NOR	"Population ages 65 and above, male"	SP.POP.65UP.MA.IN	177544	181705	186087	190440	194601	198501	202719	206506	209953	213261	216445	220188	224048	227780	231332	234774	239531	244000	248176	251990	255448	259865	263576	266727	269630	272621	276664	280844	284729	287292	288453	290354	291459	291669	291054	289704	289419	288688	287693	286652	285367	285657	285878	286418	287567	289841	292952	297074	302533	309370	317956	330056	344126	358821	372776	384993	397643	408635	418268	428172	438479
Norway	NOR	"Population ages 35-39, female (% of female population)"	SP.POP.3539.FE.5Y	7.167149508	6.963513026	6.709625704	6.425742962	6.143748777	5.886615858	5.658946144	5.458819643	5.288179162	5.145794049	5.03091463	4.941873936	4.887170161	4.871153359	4.900254699	4.977859382	5.1032515	5.267844389	5.469936978	5.707409786	5.97359451	6.269428224	6.592683636	6.905134715	7.150301575	7.294418402	7.331521149	7.266387285	7.140754686	7.022004574	6.95378795	6.927126307	6.948256001	6.998310182	7.045010231	7.069926864	7.077546075	7.068829693	7.057289069	7.065523281	7.10652565	7.172743208	7.266112955	7.366966233	7.444484987	7.479158036	7.483261026	7.455098037	7.393565941	7.301968579	7.185045976	7.008996655	6.808895233	6.608827986	6.44830431	6.355755455	6.307348431	6.318089678	6.373077672	6.446279874	6.519922171
