Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Romania	ROU	Merchandise exports by the reporting economy (current US$)	TX.VAL.MRCH.WL.CD	712700000	788290000	813210000	908620000	998830000	1098420000	1177410000	1376030000	1450980000	1621780000	1841500000	2097880000	2601990000	3696910000	4866000000	5339320000	6137730000	7020840000	8076610000	9724070000	12056000000	11180110000	10122450000	10090180000	10720070000	11218430000	10155082295	11123450361	11969325906	11089982980	5870684700	4318146301	4366845342	4892100000	6159600000	8061100000	7644400000	8386600000	8314570000	8508980000	10358235718	11379104242	13914065552	17672464398	23534509327	27645025029	32479394837	40559063809	49699647690	40673434252	49525915202	63033085119	57867437160	65854841950	69724787380	60594856266	63533985146	70761235997	79660014966	76867104077	\N
Romania	ROU	Fuel exports (% of merchandise exports)	TX.VAL.FUEL.ZS.UN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	17.71688446	17.72604816	12.48395368	11.22359971	9.970152227	9.976868695	7.912922029	7.344523504	6.110543303	4.695990806	4.864745584	7.162720203	6.206081417	7.908986659	6.47394621	6.727530847	10.64214192	9.983086485	7.560969983	9.154429912	5.894317565	5.300270381	5.496443013	5.529740209	5.211535774	5.994199113	4.46156766	3.599561975	3.769059926	4.095810328	3.783693121	2.416907267
Romania	ROU	Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)	TM.VAL.MRCH.R5.ZS	0.906803132	0.797958658	0.994576796	1.05034699	0.603579366	1.176878398	0.890134344	0.731360307	0.530484498	0.70766049	0.820793434	0.945076609	0.789555702	0.774022982	0.478916531	0.912228251	1.106956585	0.649650109	0.535782977	0.600817191	0.6271108	0.851781985	2.524424542	0.851816446	1.128258675	1.0419194	1.359096312	0.621830312	0.472616387	0.55318364	0.647700297	0.753075309	0.114918029	0.295935109	0.352875018	0.468828218	0.408486892	0.314126728	0.390582592	0.442052952	0.282108372	0.265257909	0.3462863	0.371959053	0.472297687	0.505912649	0.48996244	0.537017098	0.777781182	1.160710148	1.17729557	0.776395634	0.743804999	0.61631572	0.45323264	0.456450714	0.439754419	0.477750669	0.570116816	0.517574184	\N
Romania	ROU	Import unit value index (2000 = 100)	TM.UVI.MRCH.XD.WD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	99.49390855	103.86913	121.0329303	136.5507126	147.6365477	156.7876793	173.2255736	197.1706986	173.3508386	177.2867022	202.4718014	192.7649472	197.9806604	197.9828375	164.4060974	162.6474639	174.5844586	193.6682142	187.1558706	187.4564277
Romania	ROU	"Binding coverage, all products (%)"	TM.TAX.MRCH.BC.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.98	99.98	99.98	99.98
Romania	ROU	"International tourism, receipts for passenger transport items (current US$)"	ST.INT.TRNR.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	99000000	141000000	77000000	91000000	54000000	35000000	57000000	65000000	74000000	104000000	273000000	368000000	463000000	634000000	458000000	495000000	597000000	438000000	458000000	401000000	388000000	442000000	474000000	491000000	668000000	178000000
Romania	ROU	"Completeness of birth registration, male (%)"	SP.REG.BRTH.MA.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	\N
Romania	ROU	"Population ages 75-79, male (% of male population)"	SP.POP.7579.MA.5Y	1.041043043	1.062288907	1.077060504	1.090736307	1.105136665	1.120334835	1.128404341	1.124321611	1.120417352	1.130942791	1.161457963	1.204086086	1.259557043	1.319324792	1.371699471	1.413549416	1.458950186	1.488660932	1.514667999	1.551665256	1.605520215	1.664674848	1.724912505	1.783566304	1.834655588	1.875131675	1.918433208	1.961916763	1.981671588	1.943101028	1.836676093	1.673157635	1.457323487	1.258876038	1.161172785	1.196205873	1.339071202	1.553254631	1.790092452	2.000160106	2.166439468	2.302245886	2.415581311	2.511350837	2.588739498	2.647046877	2.707837809	2.745013879	2.771458651	2.802296404	2.843455615	2.876391211	2.923648465	2.964516709	2.96526155	2.912495044	2.814156225	2.668195316	2.527188289	2.45592431	2.482747325
Romania	ROU	"Population ages 50-54, male (% of male population)"	SP.POP.5054.MA.5Y	5.751253738	5.801085498	5.865515001	5.888206686	5.779931121	5.499729785	5.076735892	4.468340761	3.840709429	3.421829222	3.327237499	3.475178201	3.91967477	4.531749936	5.112924485	5.543929466	5.875167387	6.0784255	6.185792405	6.257622167	6.325543266	6.330961014	6.317344082	6.293070745	6.264526992	6.235936534	6.211987351	6.196623728	6.165252504	6.082093493	5.929804426	5.671453626	5.359386581	5.049185971	4.829021314	4.755180218	4.833201328	5.036680797	5.329714196	5.658386836	5.985908633	6.270636673	6.564062949	6.843806185	7.076680347	7.242079763	7.356960667	7.421217364	7.418013735	7.324830661	7.134805993	6.785911047	6.326740685	5.869972911	5.590479392	5.591646562	5.853839226	6.399681977	7.093562779	7.719514175	8.143373596
Romania	ROU	"Population ages 15-64, male (% of male population)"	SP.POP.1564.MA.ZS	64.13953196	64.12397395	64.30016733	64.61225271	64.92080201	65.12494693	65.50339477	65.56738945	65.47244365	65.44949709	65.59370876	65.2171738	65.27409761	65.51012941	65.56779731	65.30356467	65.12335453	64.53087223	63.7923916	63.32438903	63.321094	63.38830801	63.93516373	64.76305238	65.51810535	66.00318121	66.40276142	66.47822528	66.38416923	66.38742275	66.62469596	66.55112235	66.84264414	67.35186437	67.82190155	68.12069076	68.51886287	68.62153492	68.58275076	68.65890086	68.96430952	69.06420412	69.41286981	69.92008905	70.39812503	70.74177551	70.87924458	70.85761491	70.71995042	70.56173626	70.42914812	70.25573356	70.15572002	70.08302383	69.95380029	69.73107452	69.42064022	68.98185314	68.49371027	68.06958633	67.76355176
