Data Source	World Development Indicators																																																															
Last Updated Date	15-02-22																																																															
																																																																
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Sweden	SWE	Commercial service exports (current US$)	TX.VAL.SERV.CD.WT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1183017893	1305135323	1432046055	1788310722	2189472736	2313966530	2340538893	2446809015	2986723802	4375441420	4840712639	4564766320	6424983251	6190689079	6197005221	5955224292	6473151720	8631265845	10013932924	10892735357	13237227737	14177490234	15433619677	11935507258	12909254508	14765152953	16140103982	17021597292	16477295967	18629317998	19786458527	21003750868	21926492754	26177793404	33664510129	37700179315	42948397605	53245161706	59079494026	49830657642	53523507242	64779050536	64493100015	74695993491	75172357422	70822511838	69686002315	71423404994	73042144782	77281020772	68249577188
Sweden	SWE	Ores and metals exports (% of merchandise exports)	TX.VAL.MMTL.ZS.UN	\N	\N	8.903930423	12.87121606	13.23767616	13.32400621	8.480885079	10.76118589	11.78849957	11.41317632	9.691910721	6.116948892	9.025882953	8.3502304	7.983914408	7.520828338	4.785629877	4.345382269	4.233659397	4.554359922	4.590855927	4.277486209	3.872184476	4.227082583	4.20508118	3.934411345	3.419546474	3.221775599	3.410465566	3.541655455	3.392461764	3.198774147	3.209761389	3.13198368	2.907423264	2.919184067	2.649162294	2.8472267	2.531083064	2.527735378	2.357545931	2.467299446	2.416786423	2.334745819	2.654852415	3.085525316	3.863469332	3.881521423	3.99775427	3.70919048	4.818902539	5.211233189	5.278931415	4.660261761	4.677433721	4.008965759	3.995954341	4.764730901	4.564210057	4.377478088	4.987531066
Sweden	SWE	Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)	TM.VAL.MRCH.WR.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Sweden	SWE	ICT goods imports (% total goods imports)	TM.VAL.ICTG.ZS.UN	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	14.38962445	12.48895745	11.44501509	10.79959999	11.55375831	11.14349027	10.9523435	9.807415061	9.133780334	10.56874483	11.34388396	10.67239635	9.967472287	9.670661154	9.886081307	10.14627788	9.831585694	9.240402759	9.170861172	8.993743004	10.10994627
Sweden	SWE	"Tariff rate, most favored nation, simple mean, all products (%)"	TM.TAX.MRCH.SM.FN.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	6.24	6.26	8.25	7.05	7.14	7.06	7.05	9.01	8	7.97	7.14	6.79	6.19	6.48	6.13	6	5.83	5.97	5.94	5.57	5.47	5.44	5.6	5.61	5.76	5.71	5.71	5.72	5.69	5.62	5.6	6.16	4.32
Sweden	SWE	"International tourism, expenditures (current US$)"	ST.INT.XPND.CD	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	6816000000	7642000000	6850000000	8591000000	8927000000	8959000000	7916000000	8221000000	9375000000	11088000000	11088000000	11159000000	13646000000	14622000000	12075000000	13973000000	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Sweden	SWE	Completeness of death registration with cause-of-death information (%)	SP.REG.DTHS.ZS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	100	\N	\N	\N	\N	100	\N	\N	\N	\N	100	\N	\N	\N	\N	\N	\N	100	100	100	\N	\N	\N	\N	100	\N	\N	\N	\N
Sweden	SWE	Age dependency ratio (% of working-age population)	SP.POP.DPND	51.9566048	51.78257786	51.41554819	50.99558669	50.70645427	50.63841399	50.88142707	51.23923843	51.71742339	52.24672686	52.76263557	53.49085366	54.19721973	54.84706394	55.39955421	55.83130185	56.13988979	56.2899412	56.30578792	56.21459301	56.03206658	55.81675337	55.54839962	55.25793608	55.00797854	54.86259038	54.88620443	54.9989904	55.18859308	55.41262015	55.63878232	56.10625631	56.49517745	56.82032799	57.04455805	57.10873434	57.16494359	56.93759175	56.50726255	56.0220745	55.58386107	54.77646566	54.25664797	53.90220948	53.54967652	53.16559748	53.23297694	53.06149185	52.83327042	52.83128183	53.20150579	53.88128203	54.89381996	56.15612196	57.41853124	58.48568901	59.30803456	59.965652	60.45520697	60.83390771	61.16654504
Sweden	SWE	"Population ages 60-64, male (% of male population)"	SP.POP.6064.MA.5Y	5.045843659	5.101165344	5.163713474	5.234636188	5.316338464	5.409595317	5.47410903	5.552782059	5.635230639	5.708837814	5.766207326	5.790479991	5.80629765	5.814178861	5.813715934	5.804688742	5.740644543	5.66484938	5.593819192	5.551748955	5.550239165	5.564105775	5.618318735	5.683553043	5.714841928	5.685984003	5.563469714	5.392471076	5.197249148	5.014181208	4.865111241	4.724144462	4.618379992	4.545401954	4.502169282	4.48911321	4.493721125	4.530812339	4.609796282	4.743246811	4.934359562	5.163609995	5.433490637	5.722034394	5.999038398	6.242467242	6.392057128	6.529434536	6.638499521	6.687353943	6.655007195	6.530096412	6.311333227	6.036324664	5.778818291	5.593137761	5.498599095	5.47906949	5.513038691	5.563697209	5.608578228
Sweden	SWE	"Population ages 20-24, male (% of male population)"	SP.POP.2024.MA.5Y	6.250862441	6.523711904	6.876904548	7.268205826	7.632081745	7.920764688	8.143934586	8.321267778	8.442234563	8.487531477	8.438757296	8.239495854	7.943963635	7.603905279	7.29581658	7.065355012	6.930918481	6.868028297	6.859299769	6.875943531	6.898878848	6.925410702	6.972668321	7.034008217	7.100624464	7.163015284	7.250534296	7.322939018	7.368571143	7.380268253	7.35589962	7.293910078	7.207677627	7.094418386	6.956655763	6.802082286	6.638029593	6.468466014	6.299906675	6.145403582	6.017377834	5.968898437	5.930882845	5.910469364	5.924426675	5.983369366	6.13722458	6.326163481	6.518125369	6.688583787	6.833726377	6.997343157	7.184024783	7.347927151	7.411739435	7.324391459	7.077102852	6.676712946	6.209781893	5.804743198	5.535677682
